customer_state,avg_estimated_vs_actual
DI YOGYAKARTA,-10.4894935519056
JAWA BARAT,-10.584683550633
KALIMANTAN TENGAH,-10.7897629998871
SULAWESI TENGAH,-10.8788192299389
BANTEN,-10.9110094167405
JAWA TENGAH,-10.9277292166049
SUMATERA SELATAN,-10.9344390054376
JAWA TIMUR,-11.032318416171
KALIMANTAN SELATAN,-11.2281525179138
BALI,-11.2406140200783
DKI JAKARTA,-11.3498653498429
JAMBI,-11.4199614215569
SULAWESI SELATAN,-11.429979505907
GORONTALO,-11.6692685818636
LAMPUNG,-11.7045046395189
SULAWESI BARAT,-11.7481794864827
KALIMANTAN TIMUR,-11.8435290682391
RIAU,-11.966711064268
KEPULAUAN BANGKA BELITUNG,-12.0482782060009
SULAWESI UTARA,-12.0782943919606
SUMATERA BARAT,-12.0956260901272
SUMATERA UTARA,-12.1589235413012
KALIMANTAN BARAT,-12.2718847873333
NUSA TENGGARA BARAT,-12.3557271657298
PAPUA,-12.4158139629137
BENGKULU,-12.4629875605925
PAPUA BARAT,-12.4654605524129
MALUKU UTARA,-12.5088233363811
SULAWESI TENGGARA,-12.5268588893354
NUSA TENGGARA TIMUR,-12.8465333800846
KALIMANTAN UTARA,-12.8758642832004
KEPULAUAN RIAU,-12.9639348156332
ACEH,-13.0994893651227
MALUKU,-13.2342049102878
