customer_state,total_orders
DKI JAKARTA,452545
BANTEN,310665
JAWA BARAT,243722
JAWA TENGAH,181470
JAWA TIMUR,130712
SULAWESI SELATAN,56308
SUMATERA UTARA,56037
DI YOGYAKARTA,42687
SUMATERA BARAT,39549
SUMATERA SELATAN,32758
KALIMANTAN TIMUR,31524
KALIMANTAN SELATAN,28105
PAPUA,26330
KALIMANTAN BARAT,25788
LAMPUNG,24834
SULAWESI TENGAH,22716
RIAU,22012
SULAWESI UTARA,20149
BALI,18467
JAMBI,17189
NUSA TENGGARA TIMUR,16321
KALIMANTAN TENGAH,13152
SULAWESI TENGGARA,12514
SULAWESI BARAT,11017
KEPULAUAN RIAU,10398
ACEH,10189
GORONTALO,9608
PAPUA BARAT,8028
MALUKU UTARA,7851
MALUKU,7037
KALIMANTAN UTARA,6170
BENGKULU,5861
NUSA TENGGARA BARAT,5686
KEPULAUAN BANGKA BELITUNG,3557
